Date,Open,High,Low,Close,Adj Close,Volume
01-08-2024,83.71779633,83.75050354,83.65670013,83.71779633,83.71779633,0
02-08-2024,83.74389648,83.80599976,83.68789673,83.74389648,83.74389648,0
05-08-2024,83.73529816,84.17030334,83.73529816,83.73529816,83.73529816,0
06-08-2024,84.00260162,84.09529877,83.83100128,84.00260162,84.00260162,0
07-08-2024,83.93489838,83.97530365,83.87000275,83.93489838,83.93489838,0
08-08-2024,83.94239807,84.00900269,83.78990173,83.94239807,83.94239807,0
09-08-2024,83.98899841,83.99310303,83.87999725,83.98899841,83.98899841,0
12-08-2024,83.94979858,83.96469879,83.82150269,83.94979858,83.94979858,0
13-08-2024,83.88999939,83.97000122,83.88700104,83.88999939,83.88999939,0
14-08-2024,83.88200378,83.97550201,83.88899994,83.88200378,83.88200378,0
15-08-2024,83.97149658,83.99310303,83.80419922,83.97149658,83.97149658,0
16-08-2024,83.94830322,83.97039795,83.85500336,83.94830322,83.94830322,0
19-08-2024,83.88980103,83.93640137,83.78649902,83.88980103,83.88980103,0
20-08-2024,83.87860107,83.89399719,83.40930176,83.87860107,83.87860107,0
21-08-2024,83.77940369,83.93630219,83.71099854,83.77940369,83.77940369,0
22-08-2024,83.88860321,83.96990204,83.87539673,83.88860321,83.88860321,0
23-08-2024,83.94059753,83.94010162,83.79389954,83.94059753,83.94059753,0
26-08-2024,83.813797,83.90209961,83.66419983,83.813797,83.813797,0
27-08-2024,83.88369751,83.94869995,83.87580109,83.88369751,83.88369751,0
28-08-2024,83.92160034,83.97840118,83.90499878,83.92160034,83.92160034,0
29-08-2024,83.9414978,83.98100281,83.84729767,83.9414978,83.9414978,0
